"SynonymID","SpeciesID","SynSCAMITID","SynonymGenus","SynonymSpecies","SynonymDescriber","DateSynonymAdded","Comments","SpeciesListSortID","chkSynGenRed","chkSynSpRed","chkSynAuth"
203400.00,948.00,4520.00,"Polydora","armata","Langerhans 1880",,,203650,0,0,0
203401.00,948.00,4521.00,"Polydora","monilaris","Ehlers 1905",,,203650,0,0,0
203404.00,950.00,4524.00,"Polydora","barbilla","Blake 1980",,,203750,0,0,0
203406.00,951.00,4526.00,"Polydora","flava bidentata","Zachs 1933",,,203800,0,0,0
203407.00,951.00,4527.00,"Polydora","convexa","Blake & Woodwick 1971",,,203800,0,0,0
203409.00,952.00,4529.00,"Polydora","caulleryi","Mesnil 1897",,,203850,0,0,0
203410.00,952.00,4530.00,"Polydora","brachycephala","Hartman 1936",,,203850,0,0,0
203412.00,953.00,4532.00,"Polydora","commensalis","Andrews 1891",,,203900,0,0,0
203414.00,954.00,4534.00,"Polydora","elegantissima","Blake and Woodwick 1972",,,203950,1,1,1
203416.00,955.00,4536.00,"Polydora","giardi","Mesnil 1896",,,204000,0,0,0
203417.00,955.00,4537.00,"Polydora","anoculata","Moore 1907",,,204000,0,0,0
203419.00,956.00,4539.00,"Leucodore","socialis","Schmarda 1861",,,204050,0,0,0
203420.00,956.00,4540.00,"Polydora","caeca","of Berkeley & Berkeley 1936 not Ørsted 1843",,,204050,0,0,0
203421.00,956.00,4541.00,"Polydora","caeca var magna","E. Berkeley 1927",,,204050,0,0,0
203422.00,956.00,4542.00,"Polydora","carunculata","Radashevsky 1993",,,204050,0,0,0
203423.00,956.00,4543.00,"Polydora","magna","of Berkeley & Berkeley 1936",,,204050,0,0,0
203424.00,956.00,4544.00,"Polydora","neocardalia","Hartman 1961",,,204050,0,0,0
203425.00,956.00,4545.00,"Polydora","plena","of Foster 1971",,,204050,0,0,0
203426.00,956.00,4546.00,"Polydora","socialis","of Hartman 1941",,,204050,0,0,0
203427.00,956.00,4547.00,"Polydora","socialis plena","Berkeley & Berkeley 1936",,,204050,0,0,0
203430.00,958.00,4550.00,"Nerine","cirrata","M. Sars 1851",,,204250,0,0,0
203432.00,959.00,4552.00,"Laonice","appelloefi","of authors NEP not Söderström 1920",,,204300,0,0,0
203434.00,960.00,4554.00,"Scolelepis","indica","Fauvel 1928",,,204400,0,0,0
203435.00,960.00,4555.00,"Malacoceros","punctata","(Hartman 1961)",,,204400,0,0,0
203436.00,960.00,4556.00,"Spio","punctata","Hartman 1961",,,204400,0,0,0
203438.00,961.00,4558.00,"Rhynchospio","microcera","Dorsey 1977",,,204500,0,0,0
203440.00,962.00,4560.00,"Spiophanes","pigmentata","Reish 1959",,,204550,0,0,0
203441.00,962.00,4561.00,"Nerinides","pigmentata","of Hartman 1961",,,204550,0,0,0
203442.00,962.00,4562.00,"Spio (Microspio)","pigmentata","of Foster 1971",,,204550,0,0,0
203444.00,963.00,4564.00,"Prionospio","alata","Moore 1923",,,204650,0,0,0
203445.00,963.00,4565.00,"Paraprionospio","pinnata","of authors NEP not (Ehlers 1901)",,,204650,1,1,1
203449.00,966.00,4569.00,"Polydora","amarincola","Hartman 1936",,,204850,0,0,0
203450.00,966.00,4570.00,"Polydora","ciliatum","of A. Agassiz 1867 not Johnston 1838",,,204850,0,0,0
203451.00,966.00,4571.00,"Polydora","ligni","Webster 1879",,,204850,0,0,0
203452.00,966.00,4572.00,"Polydora","littorea","Verrill 1881",,,204850,0,0,0
203455.00,968.00,4575.00,"Polydora","ciliata limicola","Annenkova 1934",,,204950,0,0,0
203459.00,971.00,4579.00,"Minuspio","sp A","Harris 1985 § in part",,,205150,0,0,0
203460.00,971.00,4580.00,"Prionospio (Minuspio)","cirrifera","of Light 1977 not Wiren 1883",,,205150,0,0,0
203461.00,971.00,4581.00,"Prionospio","cirrifera","of Jones 1961 not Wiren 1883",,,205150,0,0,0
203463.00,972.00,4583.00,"Prionospio","cirrifera","of Berkeley & Berkeley 1962 in part not Wiren 1883",,,205200,0,0,0
203465.00,973.00,4585.00,"Prionospio","dubia","of Wilson 1990",,,205250,0,0,0
203466.00,973.00,4586.00,"Prionospio","malmgreni var dubia","Day 1961",,,205250,0,0,0
203467.00,973.00,4587.00,"Prionospio","sp B","SCAMIT 1991 §",,,205250,0,0,0
203468.00,973.00,4588.00,"Prionospio","steenstrupi","of Söderström 1920 not Malmgren 1867",,,205250,0,0,0
203469.00,973.00,4589.00,"Prionospio (Prionospio)","steenstrupi","of Johnson 1984 not Malmgren 1867",,,205250,0,0,0
203471.00,974.00,4591.00,"Prionospio (Prionospio)","lobulata","Fauchald 1972",,,205300,0,0,0
203473.00,975.00,4593.00,"Prionospio","heterobranchia newportensis","Reish 1959",,,205350,0,0,0
203475.00,976.00,4595.00,"Prionospio (Prionospio)","sp A","of Steinhauer & Imamura 1990",,,205400,0,0,0
203476.00,976.00,4596.00,"Prionospio","malmgreni","of Hartman 1969 not Claparède 1870",,,205400,0,0,0
