SynonymID,SpeciesID,SynSCAMITID,SynonymGenus,SynonymSpecies,SynonymDescriber,DateSynonymAdded,Comments,SpeciesListSortID,chkSynGenRed,chkSynSpRed,chkSynAuth
200266,85,266,Virgularia,elongata,Gabb 1863,,,18650,0,0,0
200267,85,267,Stylatula,columbiana,Verrill 1922,,,18650,0,0,0
200268,85,268,Stylatula,elongata,Verrill 1864,,,18650,0,0,0
200269,85,269,Stylatula,ringei,Pfeffer 1886,,,18650,0,0,0
200272,87,272,Halisceptrum,cystiferum,Nutting 1909,,,18850,0,0,0
200273,87,273,Virgularia,bromleyi,of authors NEP not Kölliker 1880,,,18850,0,0,0
200274,87,274,Virgularia,sp A,Ljubenkov 1991,,,18850,0,0,0
200275,87,275,Virgularia,tuberculata,of authors NEP not Marshall 1877,,,18850,0,0,0
200277,88,277,Virgularia,galapagensis,of Ricketts et al 1968 not Hickson 1930,,,18900,0,0,0
200278,88,278,Virgularia,reinwardti,of Kukenthal 1915 not Herklots 1858,,,18900,0,0,0
200281,89,281,Pennatula,aculeata,of Nutting 1909 not Danielssen 1858,,,19150,0,0,0
200282,89,282,Pennatula,phosphorea var californica,Kükenthal 1913,,,19150,0,0,0
200284,90,284,Sarcoptilus,gurneyi,Gray 1860,,,19250,0,0,0
200285,90,285,Leioptilum,quadrangulare,of Kükenthal 1913,,,19250,0,0,0
200286,90,286,Lioptilum,verrilli,Pfeffer 1886,,,19250,0,0,0
200287,90,287,Leioptilus,gurneyi,of Ricketts et al 1968,,,19250,0,0,0
200288,90,288,Penatula,tenua,Gould 1853,,,19250,0,0,0
200289,90,289,Ptilosarcus,quadrangularis,Moroff 1902,,,19250,0,0,0
200290,90,290,Sarcoptilus,sinuosus,Gray 1860,,,19250,0,0,0
200297,92,297,Pachycerianthus,torreyi,Arai 1965,,,19850,0,0,0
200309,97,309,Madrepora,dianthus,Esper 1794,,,20950,0,0,0
200310,97,310,Desmophyllum,cristagalli,H. Milne Edwards & Haime 1848,,,20950,0,0,0
200312,98,312,Madrepora,pertusa,Linnaeus 1758,,,21050,0,0,0
200313,98,313,Dendrosmilia,nomlandi,Durham & Barnard 1952,,,21050,0,0,0
200314,98,314,Lophelia,californica,Durham 1947,,,21050,0,0,0
200315,98,315,Lophelia,prolifera,of Cairns 1979,,,21050,0,0,0
200316,98,316,Madrepora,prolifera,Pallas 1766,,,21050,0,0,0
200318,99,318,Paracyathus,caltha,Verrill 1869,,,21150,0,0,0
200319,99,319,Paracyathus,tiburonensis,Durham 1947,,,21150,0,0,0
200324,100,324,Edwardsia (Edwardsiella),californica,McMurrich 1903,,,21520,0,0,0
200326,101,326,Actinia,sipunculoides,Stimpson 1853,,,21540,0,0,0
200331,105,331,Isoedwardsia,sp A,Ljubenkov 1980,,,22050,0,0,0
200332,105,332,Isoedwardsia,sp B,Ljubenkov 1980,,,22050,0,0,0
200337,107,337,Anthozoa,#84,Ljubenkov 1984,,,22450,0,0,0
200345,112,345,Anthozoa,#87,Ljubenkov 1984,,,23150,0,0,0
200346,112,346,Anthozoa,#92,Ljubenkov 1984,,,23150,0,0,0
200347,112,347,Athenaria,sp A,SCAMIT 1989,,,23150,0,0,0
200348,112,348,Halcampidae,sp A,SCAMIT 1989,,,23150,0,0,0
200350,113,350,Anthozoa,#12,Ljubenkov 1984,,,23250,0,0,0
