"SortID","SpeciesID","SCAMIT_ID","Phylum","Subphylum","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Subgenus","species","Describer","red","bold","non_standard_italic","AuthorRed","SubgenusRed"
179150.00,5655.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Amphinomida","","","Amphinomidae","","Pareurythoe","","","",0,0,0,0,0
254000.00,5656.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Talitrida","Talitroidea","Dogielinotidae","Najninae","Parhyalella",,,,0,0,0,0,0
253500.00,5657.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Talitrida","Phliantoidea","Phliantidae","","Pariphinotus",,,,0,0,0,0,0
180000.00,5658.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Eunicida","","","Dorvilleidae","","Parougia","","","",0,0,0,0,0
86700.00,5659.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Heterobranchia","""Lower Heterobranchia""","","","Acteonoidea","Aplustridae",,"Parvaplustrum",,,,0,0,0,0,0
123150.00,5661.00,,"MOLLUSCA","Conchifera","Bivalvia","Heterodonta","","Euheterodonta",,,"","Lucinoidea","Lucinidae","Lucininae","Parvilucina",,,,0,0,0,0,0
29200.00,5662.00,,"PLATYHELMINTHES","","Turbellaria","","","","Polycladida","Acotylea","","Planoceroidea","Leptoplanidae","","Parviplana",,,,0,0,0,0,0
320800.00,5663.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Caridea","Pasiphaeoidea","Pasiphaeidae","","Pasiphaea",,,,0,0,0,0,0
350200.00,5665.00,,"ECHINODERMATA","Asterozoa","Asteroidea","","","Valvatacea","Valvatida","Granulosina","","","Asterinidae","","Patiria",,,,1,0,0,0,0
22800.00,5666.00,,"CNIDARIA","","Anthozoa","Zoantharia","","","Actiniaria","Nynantheae","","","Haloclavidae","","Peachia",,,,1,0,0,0,0
197400.00,5667.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Terebellida","Terebelliformia","","Pectinariidae","","Pectinaria","","","",0,0,0,0,0
340300.00,5669.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Majoidea","Epialtidae","Pisinae","Pelia",,,,0,0,0,0,0
165750.00,5670.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Aphroditiformia","Aphroditoidea","Sigalionidae","","Pelogenia","","","",0,0,0,0,0
99700.00,5671.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Heterobranchia","Opisthobranchia","Nudipleura","Nudibranchia","Doridoidea","Discodorididae","","Peltodoris",,,,1,0,0,0,0
19100.00,5672.00,,"CNIDARIA","","Anthozoa","Octocorallia","","","Pennatulacea","Subselliflorae","","","Pennatulidae","","Pennatula",,,,0,0,0,0,0
22200.00,5673.00,,"CNIDARIA","","Anthozoa","Zoantharia","","","Actiniaria","Nynantheae","","","Halcampoididae","","Pentactinia",,,,0,0,0,0,0
362200.00,5674.00,,"ECHINODERMATA","Echinozoa","Holothuroidea","","","","Dendrochirotida","","","","Phyllophoridae","","Pentamera",,,,0,0,0,0,0
302500.00,5681.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Isopoda","Valvifera","","","Idoteidae","","Pentidotea",,,,0,0,0,0,0
258000.00,5683.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Corophiida","Corophioidea","Ampithoidae","Ampithoinae","Peramphithoe",,,,0,0,0,0,0
142500.00,5688.00,,"MOLLUSCA","Conchifera","Bivalvia","Anomalodesmata","",,"Pholadomyoida","","",,"Periplomatidae",,"Periploma",,,,0,0,0,0,0
262000.00,5690.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Caprellida","Caprelloidea","Caprellidae","Phtisicinae","Perotripus",,,,0,0,0,0,0
156250.00,5691.00,,"ANNELIDA","","Polychaeta","Scolecida","","",,"","","","Maldanidae","Euclymeninae","Petaloclymene","","","",0,0,0,0,0
70000.00,5692.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Caenogastropoda","Hypsogastropoda","Littorinimorpha","","Vermetoidea","Vermetidae","Dendropomatinae","Petaloconchus",,,,0,0,0,0,0
157150.00,5693.00,,"ANNELIDA","","Polychaeta","Scolecida","","",,"","","","Maldanidae","Nicomachinae","Petaloproctus","","","",0,0,0,0,0
318500.00,5696.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Cumacea","","","","Pseudocumatidae","","Petalosarsia",,,,1,0,0,0,0
133700.00,5697.00,,"MOLLUSCA","Conchifera","Bivalvia","Heterodonta","","Euheterodonta",,"Neoheterodontei","","Veneroidea","Petricolidae",,"Petricola",,,,0,0,0,0,0
334700.00,5699.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Anomura","Galatheoidea","Porcellanidae","","Petrolisthes",,,,0,0,0,0,0
180100.00,5701.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Eunicida","","","Dorvilleidae","","Pettiboneia","","","",0,0,0,0,0
29300.00,5702.00,,"PLATYHELMINTHES","","Turbellaria","","","","Polycladida","Acotylea","","Planoceroidea","Leptoplanidae","","Phaenoplana",,,,1,0,0,0,0
150500.00,5703.00,,"SIPUNCULA","","Sipunculidea","","","","Golfingiformes","","","","Phascolionidae","","Phascolion",,,,0,0,0,0,0
151300.00,5704.00,,"SIPUNCULA","","Phascolosomatidea","","","","Phascolosomatiformes","","","","Phascolosomatidae","","Phascolosoma",,,,1,0,0,0,0
194350.00,5705.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Terebellida","Cirratuliformia","","Flabelligeridae","","Pherusa","","","",0,0,0,0,0
