"""SortID""",SpeciesID,SCAMIT_ID,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,species,Describer,red,bold,non_standard_italic,AuthorRed,SubgenusRed
9850,36,126,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Bougainvilliidae,,Bougainvilleidae,,sp A,(Ljubenkov 1976 §),1,0,1,1,0
9950,37,128,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Bougainvilliidae,,Rhizorhagium,,formosum,(Fewkes 1889),0,0,0,0,0
10150,38,134,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Pandeidae,,Halitholus,,cirratus,Hartlaub 1913,1,0,0,1,0
10250,39,136,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Pandeidae,,Leuckartiara,,octona,(Fleming 1823),1,0,0,1,0
10450,40,141,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Eudendriidae,,Eudendrium,,rameum,(Pallas 1766),1,0,0,1,0
10650,41,144,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Hydractiniidae,,Hydractinia,,sp,,0,0,1,0,0
10750,42,145,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Hydractiniidae,,Stylactis,,sp,,0,0,1,0,0
10950,43,147,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Olindiidae,,Monobrachium,,parasitum,Mereschkovsky 1877,0,0,0,0,0
11350,44,152,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,Campanularia,,volubilis,(Linnaeus 1758),0,0,0,0,0
11450,45,157,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,Clytia,,universitatis,Torrey 1904,0,0,0,0,0
11550,46,158,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,Laomedia,,calceolifera,(Hincks 1871),1,0,0,1,0
11650,47,161,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,Obelia,,geniculata,(Linnaeus 1758),0,0,0,0,0
11750,48,163,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,Orthopyxis,,everta,(S. F. Clark 1876),0,0,0,0,0
